txn_id,user_id,date,amount,category,sub_category,payment_method,gender,usia,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,pendapatan_bulan,spending_ratio,user_lat,user_long,merch_lat,merch_long,dist_user_merchant,is_fraud,is_night,is_weekend,month,day_of_week,hour,quarter,is_month_start,is_month_end,day_name,week,amount_idr_bucket,above_avg,category_freq_enc,age_group,amount_lag1,amount_diff,rolling_7txn,rolling_30txn,rolling_7_mean,is_spike
TXN0000012,BUDU00001,2023-01-03 20:37:12,46900,Sembako & Kebutuhan Pokok,Lotte Mart,Tunai,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.434,106.6479,0.1937,0,1,0,1,1,20,1,1,0,Tue,1,<50k,0,0.11752823061228612,35-44,,0.0,46900.0,46900.0,46900.0,0
TXN0000017,BUDU00001,2023-01-07 20:44:57,48600,Makanan & Minuman,Kopi Jahe/Wedang,Dana,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4636,106.6906,0.23,0,1,1,1,5,20,1,0,0,Sat,1,<50k,0,0.19358422721855242,35-44,46900.0,1700.0,95500.0,95500.0,47750.0,0
TXN0000014,BUDU00001,2023-02-07 10:04:47,46900,Makanan & Minuman,Indomie Rebus,Transfer Bank,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3903,106.7079,0.1669,0,0,0,2,1,10,1,0,0,Tue,6,<50k,0,0.19358422721855242,35-44,48600.0,-1700.0,142400.0,142400.0,47466.666666666664,0
TXN0000002,BUDU00001,2023-02-16 05:15:06,84100,Hiburan,Xxi Cinema,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4763,106.6785,0.2397,0,0,0,2,3,5,1,0,0,Thu,7,50k-200k,0,0.07435912974971214,35-44,46900.0,37200.0,226500.0,226500.0,56625.0,0
TXN0000009,BUDU00001,2023-03-02 10:59:05,237500,Hiburan,Konser Musik,Transfer Bank,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3806,106.632,0.1398,0,0,0,3,3,10,1,1,0,Thu,9,200k-500k,0,0.07435912974971214,35-44,84100.0,153400.0,464000.0,464000.0,92800.0,1
TXN0000023,BUDU00001,2023-03-25 18:26:02,77100,Pendidikan,Coursera,Tunai,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3832,106.6848,0.1513,0,0,1,3,5,18,1,0,1,Sat,12,50k-200k,0,0.020241197503181624,35-44,237500.0,-160400.0,541100.0,541100.0,90183.33333333333,0
TXN0000015,BUDU00001,2023-04-24 15:31:28,96700,Kesehatan,Klinik Pratama,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3918,106.6885,0.1606,0,0,0,4,0,15,2,0,0,Mon,17,50k-200k,0,0.009878189200654506,35-44,77100.0,19600.0,637800.0,637800.0,91114.28571428571,0
TXN0000003,BUDU00001,2023-05-17 08:07:49,76500,Makanan & Minuman,Geprek/Ayam Goreng,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3968,106.6125,0.1574,0,0,0,5,2,8,2,0,0,Wed,20,50k-200k,0,0.19358422721855242,35-44,96700.0,-20200.0,667400.0,714300.0,95342.85714285714,0
TXN0000006,BUDU00001,2023-05-21 12:31:34,39700,Sembako & Kebutuhan Pokok,Hypermart,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4317,106.6716,0.1946,0,0,1,5,6,12,2,0,0,Sun,20,<50k,0,0.11752823061228612,35-44,76500.0,-36800.0,658500.0,754000.0,94071.42857142857,0
TXN0000004,BUDU00001,2023-06-08 12:43:59,82700,Makanan & Minuman,Warung Padang,Ovo,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4072,106.6153,0.1674,0,0,0,6,3,12,2,0,0,Thu,23,50k-200k,0,0.19358422721855242,35-44,39700.0,43000.0,694300.0,836700.0,99185.71428571429,0
TXN0000016,BUDU00001,2023-06-17 10:58:58,170800,Sembako & Kebutuhan Pokok,Giant,Dana,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4178,106.6841,0.184,0,0,1,6,5,10,2,0,0,Sat,24,50k-200k,0,0.11752823061228612,35-44,82700.0,88100.0,781000.0,1007500.0,111571.42857142857,0
TXN0000001,BUDU00001,2023-08-04 19:30:20,20600,Pulsa & Data,Smartfren,Ovo,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3809,106.7032,0.1564,0,0,0,8,4,19,3,1,0,Fri,31,<50k,0,0.04290649051572632,35-44,170800.0,-150200.0,564100.0,1028100.0,80585.71428571429,0
TXN0000025,BUDU00001,2023-09-28 14:26:07,56500,Sembako & Kebutuhan Pokok,Indomaret,Dana,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4171,106.6219,0.1767,0,0,0,9,3,14,3,0,1,Thu,39,50k-200k,0,0.11752823061228612,35-44,20600.0,35900.0,543500.0,1084600.0,77642.85714285714,0
TXN0000022,BUDU00001,2023-10-12 21:34:12,13700,Fashion & Pakaian,Brand Lokal Ig,Dana,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3957,106.6861,0.1635,0,1,0,10,3,21,4,0,0,Thu,41,<50k,0,0.10189281457689434,35-44,56500.0,-42800.0,460500.0,1098300.0,65785.71428571429,0
TXN0000008,BUDU00001,2023-10-20 05:00:52,99300,Hiburan,Cgv Cinemas,Tunai,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4673,106.7044,0.2373,0,0,0,10,4,5,4,0,0,Fri,42,50k-200k,0,0.07435912974971214,35-44,13700.0,85600.0,483300.0,1197600.0,69042.85714285714,0
TXN0000019,BUDU00001,2023-12-31 19:05:18,22700,Pulsa & Data,Indosat Ooredoo,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4008,106.6262,0.1602,0,0,1,12,6,19,4,0,1,Sun,52,<50k,0,0.04290649051572632,35-44,99300.0,-76600.0,466300.0,1220300.0,66614.28571428571,0
TXN0000007,BUDU00001,2024-03-15 10:56:09,10700,Sembako & Kebutuhan Pokok,Lotte Mart,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.451,106.6384,0.2103,0,0,0,3,4,10,1,0,0,Fri,11,<50k,0,0.11752823061228612,35-44,22700.0,-12000.0,394300.0,1231000.0,56328.57142857143,0
TXN0000024,BUDU00001,2024-03-28 23:00:57,67600,Kesehatan,Laboratorium,Ovo,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3929,106.6803,0.1591,0,1,0,3,3,23,1,0,1,Thu,13,50k-200k,0,0.009878189200654506,35-44,10700.0,56900.0,291100.0,1298600.0,41585.71428571428,0
TXN0000020,BUDU00001,2024-04-28 06:26:16,57100,Pulsa & Data,Telkomsel,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4751,106.696,0.2424,0,0,1,4,6,6,2,0,1,Sun,17,50k-200k,0,0.04290649051572632,35-44,67600.0,-10500.0,327600.0,1355700.0,46800.0,0
TXN0000011,BUDU00001,2024-05-31 06:46:22,22800,Kesehatan,Klinik Pratama,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4306,106.7084,0.204,0,0,0,5,4,6,2,0,1,Fri,22,<50k,0,0.009878189200654506,35-44,57100.0,-34300.0,293900.0,1378500.0,41985.71428571428,0
TXN0000005,BUDU00001,2024-06-10 19:03:28,76700,Transportasi,Grab,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.3807,106.6088,0.1421,0,0,0,6,0,19,2,0,0,Mon,24,50k-200k,0,0.09559016625255035,35-44,22800.0,53900.0,356900.0,1455200.0,50985.71428571428,0
TXN0000013,BUDU00001,2024-09-26 07:08:02,77000,Pendidikan,Coursera,Tunai,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4516,106.6341,0.2108,0,0,0,9,3,7,3,0,1,Thu,39,50k-200k,0,0.020241197503181624,35-44,76700.0,300.0,334600.0,1532200.0,47800.0,0
TXN0000010,BUDU00001,2024-10-21 20:53:52,35800,Fashion & Pakaian,Zara,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.384,106.6914,0.1544,0,1,0,10,0,20,4,0,0,Mon,43,<50k,0,0.10189281457689434,35-44,77000.0,-41200.0,347700.0,1568000.0,49671.42857142857,0
TXN0000027,BUDU00001,2024-11-08 09:59:21,27900,Transportasi,Krl Commuter,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4117,106.6484,0.1715,0,0,0,11,4,9,4,0,0,Fri,45,<50k,0,0.09559016625255035,35-44,35800.0,-7900.0,364900.0,1595900.0,52128.57142857143,0
TXN0000026,BUDU00001,2024-11-23 21:57:02,36200,Sembako & Kebutuhan Pokok,Lotte Mart,Gopay,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4111,106.6518,0.1713,0,1,1,11,5,21,4,0,0,Sat,47,<50k,0,0.11752823061228612,35-44,27900.0,8300.0,333500.0,1632100.0,47642.857142857145,0
TXN0000021,BUDU00001,2024-12-04 18:11:35,43300,Transportasi,Bus Kota,Ovo,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4351,106.6362,0.1943,0,0,0,12,2,18,4,1,0,Wed,49,<50k,0,0.09559016625255035,35-44,36200.0,7100.0,319700.0,1675400.0,45671.42857142857,0
