user_id,total_spending_idr,avg_txn_idr,median_txn_idr,max_txn_idr,txn_count,std_amount_idr,weekend_ratio,night_ratio,month_start_ratio,month_end_ratio,above_avg_ratio,spike_ratio,unique_categories,unique_merchants,active_months,fraud_ratio,avg_dist_merchant,spending_cov,impulse_score,cat_belanja_online,cat_elektronik,cat_fashion_&_pakai,cat_hiburan,cat_investasi_&_asu,cat_kecantikan_&_pe,cat_kesehatan,cat_kesehatan_&_kec,cat_makanan_&_minum,cat_olahraga_&_gym,cat_pendidikan,cat_properti_&_reno,cat_pulsa_&_data,cat_restoran_&_kafe,cat_sembako_&_kebut,cat_transportasi,cat_travel_&_hotel,dominant_payment,gender,age,cat_makanan_&_minum_ratio,cat_transportasi_ratio,cat_kesehatan_&_kec_ratio,cat_sembako_&_kebut_ratio,cat_kesehatan_ratio,cat_pendidikan_ratio,cat_belanja_online_ratio,cat_pulsa_&_data_ratio,cat_hiburan_ratio,cat_fashion_&_pakai_ratio,pendapatan_bulan,cluster,spending_persona,persona_encoded
BUDU00001,1742100,67003.84615384616,48250.0,325000,26,65816.58441924334,0.2692307692307692,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.0,0.07692307692307693,8,23,10,0.0,0.3651961538461539,0.9822806927847579,0.1635,0,0,454300,70000,0,0,200800,0,509400,0,125900,0,205900,0,101400,74400,0,Gopay,P,37.0,0.29240571723781644,0.042707077664887204,0.0,0.058205613914241436,0.11526318810630848,0.07226910051087768,0.0,0.11819068939785317,0.040181390276103554,0.2607772228919121,0,0,Rational Spender,2
BUDU00002,550900,23952.17391304348,14600.0,82200,23,21682.310962986674,0.21739130434782608,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.0,0.17391304347826086,5,20,12,0.043478260869565216,0.1552304347826087,0.9052335308562234,0.1804,0,0,0,0,0,0,0,0,167900,0,168900,0,71800,0,79200,63100,0,Gopay,P,40.0,0.304774006171719,0.1145398438918134,0.0,0.14376474859321112,0.0,0.3065892176438555,0.0,0.13033218369940097,0.0,0.0,0,0,Rational Spender,2
BUDU00003,328600,16430.0,11050.0,35800,20,10938.34876405989,0.35,0.1,0.15,0.0,0.0,0.1,5,14,10,0.0,0.28696,0.6657546417565362,0.1675,0,0,0,0,0,0,0,0,37300,0,33100,0,29100,0,198100,31000,0,Tunai,P,18.0,0.11351186853317102,0.09433962264150944,0.0,0.6028606208155812,0.0,0.1007303712720633,0.0,0.08855751673767498,0.0,0.0,0,0,Rational Spender,2
BUDU00004,1929600,60300.0,37450.0,275000,32,55764.17511096575,0.375,0.1875,0.21875,0.1875,0.0,0.0625,8,22,12,0.0,0.06408125,0.9247790233991003,0.1969,0,0,387200,28700,0,0,179600,0,564100,0,154000,0,80500,0,440600,94900,0,Gopay,P,42.0,0.29234038142620233,0.04918117744610282,0.0,0.22833747927031509,0.09307628524046435,0.07980928689883914,0.0,0.04171849087893864,0.014873548922056385,0.20066334991708126,0,0,Rational Spender,2
BUDU00005,38001800,666698.245614035,527200.0,4050000,57,692623.6368463726,0.3684210526315789,0.14035087719298245,0.10526315789473684,0.3333333333333333,0.24561403508771928,0.14035087719298245,10,38,11,0.03508771929824561,0.15225964912280704,1.0388862448684864,0.2412,5576100,4611700,5546700,2061800,0,3775600,0,0,7115000,527200,0,0,0,4488000,0,2326100,1973600,Kartu Kredit,L,44.0,0.18722797341178576,0.0612102584614413,0.0,0.0,0.0,0.0,0.14673252319626964,0.0,0.054255324747775106,0.14595887563220689,0,1,Emotional Spender,0
BUDU00006,40700600,714045.6140350878,554800.0,3150000,57,591376.4806033267,0.49122807017543857,0.15789473684210525,0.12280701754385964,0.19298245614035087,0.3508771929824561,0.10526315789473684,10,40,12,0.0,0.15352456140350876,0.8282054661206375,0.3053,6160400,4248700,5097200,5714000,0,3245700,0,0,2647600,1801400,0,0,0,8356000,0,1918500,1511100,Kartu Debit,L,46.0,0.06505063807413158,0.047136897244758065,0.0,0.0,0.0,0.0,0.15135894802533623,0.0,0.14039105074618063,0.12523648300025061,0,1,Emotional Spender,0
BUDU00007,5691600,177862.5,142200.0,448500,32,118552.11117696777,0.28125,0.25,0.1875,0.125,0.0,0.09375,9,28,11,0.0,0.060828125,0.6665379783651291,0.1875,1417900,0,490300,309200,0,0,0,742700,1851000,0,123700,0,125600,0,201000,430200,0,Gopay,L,38.0,0.32521610794855577,0.07558507273877293,0.13049054747346966,0.03531520134935695,0.0,0.021733783118982358,0.24912151240424485,0.022067608405369317,0.05432567292149835,0.08614449363974981,0,1,Emotional Spender,0
BUDU00008,13102000,198515.15151515152,145200.0,700000,66,158536.7768470572,0.2727272727272727,0.13636363636363635,0.16666666666666666,0.16666666666666666,0.0,0.09090909090909091,9,40,12,0.015151515151515152,0.30973636363636364,0.798612980606455,0.15,2101700,0,2159100,1552000,0,0,0,811500,3413000,0,902000,0,214400,0,1144500,803800,0,Gopay,L,42.0,0.26049458098000305,0.06134941230346512,0.061937108838345294,0.08735307586627995,0.0,0.06884445122882003,0.16041062433216302,0.016363913906273852,0.11845519767974355,0.1647916348649061,0,1,Emotional Spender,0
BUDU00009,50751000,611457.8313253012,442900.0,3750000,83,631360.5956477668,0.4819277108433735,0.1927710843373494,0.13253012048192772,0.24096385542168675,0.1686746987951807,0.10843373493975904,10,46,12,0.024096385542168676,0.27575662650602406,1.0325496923955124,0.2765,5858800,4282900,4342600,3858900,0,3584400,0,0,14399000,829700,0,0,0,11309800,0,1165900,1119000,Kartu Debit,P,44.0,0.28371854741778485,0.02297294634588481,0.0,0.0,0.0,0.0,0.11544206025497035,0.0,0.07603594017851865,0.08556678686134263,0,1,Emotional Spender,0
BUDU00010,9746200,165189.83050847458,119600.0,515700,59,122347.19631655847,0.3898305084745763,0.22033898305084745,0.15254237288135594,0.2542372881355932,0.0,0.06779661016949153,9,37,12,0.01694915254237288,0.3596033898305085,0.7406460551473343,0.2127,2233300,0,1434300,684000,0,0,0,299300,2471600,0,384700,0,198300,0,1538600,502100,0,Gopay,P,18.0,0.25359627341938396,0.051517514518478996,0.03070940469105908,0.15786665572223021,0.0,0.03947179413515011,0.22914571833124706,0.020346391414089594,0.07018119882620918,0.14716504894215182,0,1,Emotional Spender,0
