txn_id,user_id,date,amount,category,sub_category,payment_method,gender,usia,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,user_lat,user_long,merch_lat,merch_long,dist_user_merchant,is_fraud,is_night,is_weekend,month,day_of_week,hour,quarter,is_month_start,is_month_end,age,pendapatan_bulan,spending_ratio,day_name,week,amount_idr_bucket,above_avg,category_freq_enc,age_group,amount_lag1,amount_diff,rolling_7txn,rolling_30txn,rolling_7_mean,is_spike
TXN0000001,BUDU00001,2023-01-03 20:55:46,22200,Fashion & Pakaian,Matahari Dept Store,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3428,107.1986,0.3095,0,1,0,1,1,20,1,1,0,37,0,0.0,Tue,1,<50k,0,0.10367467323892447,35-44,,0.0,22200.0,22200.0,22200.0,0
TXN0000002,BUDU00001,2023-01-29 19:52:43,38100,Makanan & Minuman,Gofood/Grabfood,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3872,107.2324,0.3653,0,0,1,1,6,19,1,0,1,37,0,0.0,Sun,4,<50k,0,0.18739015373426798,35-44,22200.0,15900.0,60300.0,60300.0,30150.0,0
TXN0000003,BUDU00001,2023-07-02 13:55:48,46600,Sembako & Kebutuhan Pokok,Giant,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3289,107.2013,0.3004,0,0,1,7,6,13,3,1,0,37,0,0.0,Sun,26,<50k,0,0.11609866467344095,35-44,38100.0,8500.0,106900.0,106900.0,35633.333333333336,0
TXN0000004,BUDU00001,2023-07-06 22:42:59,42500,Kesehatan,Dokter Praktek,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3932,107.2629,0.3893,0,1,0,7,3,22,3,0,0,37,0,0.0,Thu,27,<50k,0,0.011393709217995596,35-44,46600.0,-4100.0,149400.0,149400.0,37350.0,0
TXN0000005,BUDU00001,2023-07-19 10:14:58,44000,Transportasi,Gojek,Dana,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3572,107.2788,0.3742,0,0,0,7,2,10,3,0,0,37,0,0.0,Wed,29,<50k,0,0.0957354396880871,35-44,42500.0,1500.0,193400.0,193400.0,38680.0,0
TXN0000006,BUDU00001,2023-08-06 04:55:05,24100,Pulsa & Data,Indosat Ooredoo,Ovo,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3398,107.2912,0.3717,0,0,1,8,6,4,3,0,0,37,0,0.0,Sun,31,<50k,0,0.04232237732571059,35-44,44000.0,-19900.0,217500.0,217500.0,36250.0,0
TXN0000007,BUDU00001,2023-08-11 20:17:58,50700,Makanan & Minuman,Kopi Jahe/Wedang,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.4119,107.2769,0.4126,0,1,0,8,4,20,3,0,0,37,0,0.0,Fri,32,50k-200k,0,0.18739015373426798,35-44,24100.0,26600.0,268200.0,268200.0,38314.28571428572,0
TXN0000008,BUDU00001,2023-08-31 15:33:56,63200,Fashion & Pakaian,Brand Lokal Ig,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3954,107.2511,0.3834,0,0,0,8,3,15,3,0,1,37,0,0.0,Thu,35,50k-200k,0,0.10367467323892447,35-44,50700.0,12500.0,309200.0,331400.0,44171.42857142857,0
TXN0000009,BUDU00001,2023-10-20 05:45:14,54800,Sembako & Kebutuhan Pokok,Alfamart,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3739,107.2914,0.3948,0,0,0,10,4,5,4,0,0,37,0,0.0,Fri,42,50k-200k,0,0.11609866467344095,35-44,63200.0,-8400.0,325900.0,386200.0,46557.142857142855,0
TXN0000010,BUDU00001,2023-12-10 14:24:06,325000,Makanan & Minuman,Mie Ayam & Bakso,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3491,107.2125,0.3231,0,0,1,12,6,14,4,0,0,37,0,0.0,Sun,49,200k-500k,0,0.18739015373426798,35-44,54800.0,270200.0,604300.0,711200.0,86328.57142857143,1
